0.295,0.59,0.29,0.31,0.55
0.06,0.06,0.05,0.25,0.33
0.58,0.299,0.73,0.63,0.21
0.41,0.09,0.58,0.18,0.58
0.4,0.12,0.41,0.1,0.65
0.27,0.12,0.37,0.29,0.58
0.42,0.7,0.72,0.3,0.8
0.255,0.18,0.5,0.4,0.1
0.54,0.51,0.55,0.64,0.19
0.8,0.29,0.06,0.31,0.51
0.385,0.26,0.76,0.84,0.3
0.4,0.33,0.12,0.3,0.9
0.37,0.06,0.32,0.78,0.1
0.299,0.295,0.8,0.37,0.84
0.1,0.1,0.7,0.15,0.9
0.44,0.33,0.59,0.53,0.85
0.325,0.9,0.52,0.49,0.76
0.46,0.78,0.38,0.24,0.89
0.06,0.77,0.72,0.19,0.56
0.1,0.6,0.33,0.42,0.26
0.42,0.36,0.63,0.04,0.25
0.99,0.49,0.07,0.7,0.69
0.365,0.57,0.59,0.55,0.25
0.46,0.2,0.76,0.95,0.65
0.72,0.6,0.45,0.79,0.45
0.285,0.64,0.18,0.61,0.45
0.44,0.55,0.11,0.26,0.83
0.18,0.34,0.71,0.71,0.9
0.329,0.55,0.02,0.4,0.79
0.09,0.61,0.53,0.75,0.01
0.13,0.39,0.85,0.38,0.77
0.495,0.276,0.58,0.77,0.83
0.68,0.63,0.65,0.09,0.66
0.18,0.31,0.32,0.42,0.28
0.78,0.15,0.38,0.18,0.63
0.475,0.32,0.79,0.31,0.54
0.78,0.27,0.13,0.14,0.62
0.62,0.67,0.39,0.1,0.66
0.42,0.15,0.66,0.78,0.4
0.3,0.27,0.31,0.31,0.54
0.09,0.33,0.31,0.26,0
0.59,0.18,0.31,0.55,0.09
0.08,0.325,0.62,0.94,0.56
0.2,0.2,0.7,0.3,0.6
0.31,0.1,0.41,0.42,0.75
0.69,0.02,0.62,0.3,0.29
0.43,0.38,0.62,0.33,0.49
0.1,0.27,0.31,0.29,0.65
0.41,0.18,0.33,0.31,0.5
0.1,0.25,0.1,0.08,0.33
0.258,0.31,0.88,0.4,0.3
0.34,0.4,0.38,0.2,0.61
0.445,0.7,0.82,0.16,0.64
0.12,0.28,0.2,0.78,0.2
0.18,0.33,0.61,0.64,0.25
0.115,0.35,0.65,0.27,0.04
0.29,0.15,0.33,0.66,0.08
0.255,0.305,0.86,0.62,0.15
0.334,0.295,0.33,0.32,0.3
0.1,0.1,0.43,0.29,0.56
0.75,0.015,0.78,0.31,0.53
0.32,0.2,0.06,0.26,0.24
0.62,0.14,0.52,0.81,0.15
0.18,0.4,0.32,0.08,0.33
0.245,0.1,0.71,0.26,0.2
0.12,0.245,0.75,0.31,0.59
0.18,0.3,0.37,0.12,0.66
0.25,0.29,0.15,0.48,0.26
0.09,0.15,0.4,0.1,0.66
0.68,0.27,0.78,0.31,0.57
0.3,0.2,0.52,0.3,0.53
0.45,0.04,0.18,0.55,0.07
0.26,0.28,0.6,0.29,0.59
0.28,0.65,0.4,0.65,0.13
0.325,0.61,0.46,0.32,0.81
0.32,0.27,0.52,0.81,0.3
0.49,0.9,0.52,0.9,0.47
0.33,0.27,0.2,0.33,0.1
0.52,0.44,0.82,0.3,0.52
0.9,0.26,0.19,0.58,0.79
0.23,0.7,0.19,0.51,0.45
0.71,0.46,0.95,0.78,0.86
0.28,0.1,0.12,0.28,0.32
0.58,0.295,0.62,0.28,0.3
0.39,0.42,0.83,0.65,0.19
0.6,0.251,0.39,0.29,0.3
0.24,0.58,0.76,0.8,0.28
